concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue
0.031623,Trametinib,cytosolic,0.708072899895,3.95876108353e-133,4283553.5,48h,1.33014372406e-130
0.1,Neratinib,cytosolic,0.77210849631,1.90952397783e-267,6001919.0,48h,6.4160005655e-265
0.00032,Paclitaxel,cytosolic,-0.230095807,1.43842429834e-92,27103037.5,48h,4.83310564243e-90
10.0,Etoposide,cytosolic,0.973032070927,1.71907140316e-116,1499195.0,48h,5.77607991461e-114
1.0,Palbociclib,cytosolic,0.288743034286,2.70735690937e-65,11993285.0,48h,9.09671921548e-63
10.0,Dasatinib,cytosolic,2.07051756355,1.63968852378e-33,213482.0,48h,5.5093534399e-31
0.1,Paclitaxel,cytosolic,2.1354157317,1.84143061425e-53,75289.0,48h,6.18720686389e-51
0.01,Vorinostat,cytosolic,-0.209359367489,1.18195625823e-99,27914451.5,48h,3.97137302767e-97
0.31623,Vorinostat,cytosolic,-0.221685293696,5.85930515698e-94,19333168.5,48h,1.96872653275e-91
0.031623,Dasatinib,cytosolic,0.76036292315,0.0,10702647.0,48h,0.0
0.031623,Paclitaxel,cytosolic,1.75837580335,1.80464270491e-74,256139.0,48h,6.06359948849e-72
0.001,Paclitaxel,cytosolic,0.104818689747,1.46944695056e-13,20794762.5,48h,4.93734175388e-11
0.1,Dasatinib,nuclear,2.41146257981,0.0,1074809.0,48h,0.0
0.01,Neratinib,nuclear,0.884831408631,0.0,13108980.0,48h,0.0
1.0,Dasatinib,nuclear,3.35998366077,0.0,101780.0,48h,0.0
0.1,Etoposide,nuclear,1.50337878875,0.0,5721015.5,48h,0.0
0.0001,Paclitaxel,nuclear,0.92631041064,0.0,14843415.5,48h,0.0
1.0,Alpelisib,nuclear,1.12916232239,0.0,8417354.5,48h,0.0
0.031623,Neratinib,nuclear,0.700496104954,6.17260375514e-272,11028856.0,48h,2.07399486173e-269
3.1623,Alpelisib,nuclear,1.24992319069,0.0,6016637.0,48h,0.0
0.001,Neratinib,nuclear,0.815900971829,0.0,16803862.0,48h,0.0
0.01,Trametinib,nuclear,1.48000312167,0.0,2841278.5,48h,0.0
0.31623,Alpelisib,nuclear,0.497566477326,9.36541166482e-192,19299339.0,48h,3.14677831938e-189
0.1,Vorinostat,nuclear,0.377878649965,1.29645127345e-133,24737203.0,48h,4.35607627879e-131
0.0003,Trametinib,nuclear,0.379527075064,2.54503490545e-140,24834521.5,48h,8.55131728232e-138
0.001,Trametinib,nuclear,0.423423723912,1.14267332399e-130,18527946.5,48h,3.8393823686e-128
3.1623,Palbociclib,nuclear,1.11227377338,7.90325099197e-303,4567049.0,48h,2.6554923333e-300
0.0031623,Trametinib,nuclear,0.85460968739,2.3328109787e-244,9348471.0,48h,7.83824488845e-242
0.01,Etoposide,nuclear,0.36782174605,1.57851295316e-137,25451395.0,48h,5.30380352262e-135
0.031623,Palbociclib,nuclear,0.619896301116,5.30238201504e-305,22007219.5,48h,1.78160035705e-302
1.0,Etoposide,nuclear,1.08779878539,4.27596049557e-125,2833099.5,48h,1.43672272651e-122
0.031623,Alpelisib,nuclear,0.139606922996,3.29611009043e-34,31991001.0,48h,1.10749299039e-31
0.031623,Vorinostat,nuclear,0.105482187456,2.43101739991e-18,33637654.0,48h,8.16821846371e-16
0.31623,Trametinib,nuclear,1.14754097611,5.3265808393e-240,2793150.0,48h,1.78973116201e-237
0.31623,Neratinib,nuclear,1.74078975678,0.0,1735843.0,48h,0.0
3.1623,Dasatinib,nuclear,3.10718358259,3.42946540475e-223,141332.5,48h,1.152300376e-220
10.0,Palbociclib,nuclear,0.829503606396,7.60557941523e-197,5641111.0,48h,2.55547468352e-194
0.1,Palbociclib,nuclear,0.213438892527,3.17729067938e-44,24342457.5,48h,1.06756966827e-41
0.0031623,Paclitaxel,nuclear,1.33176626133,1.15099121782e-197,4333141.5,48h,3.86733049189e-195
0.031623,Etoposide,nuclear,0.241217926659,4.08401671812e-45,27342573.0,48h,1.37222961729e-42
3.1623,Etoposide,nuclear,0.98379093875,1.52099374196e-101,2268651.0,48h,5.11053897299e-99
1.0,Vorinostat,nuclear,0.0196152113741,0.0131445201086,15327365.0,48h,1.0
0.01,Alpelisib,nuclear,0.125968635022,2.18252708484e-16,35642253.5,48h,7.33329100506e-14
10.0,Alpelisib,nuclear,0.702430111153,3.52969452124e-96,6305789.0,48h,1.18597735914e-93
0.31623,Palbociclib,nuclear,0.0341593353651,0.42754257568,29713134.5,48h,1.0
0.0032,Neratinib,nuclear,-0.160654236361,4.08939591335e-46,38034327.0,48h,1.37403702688e-43
3.1623,Vorinostat,nuclear,-0.0778957482195,0.000175838774012,7350971.5,48h,0.0590818280682
0.31623,Dasatinib,nuclear,2.23512379394,0.0,1561622.5,48h,0.0
0.01,Dasatinib,nuclear,0.0771481549339,1.64791493974e-12,34886283.0,48h,5.53699419752e-10
0.01,Paclitaxel,nuclear,1.86066108978,6.10855759558e-232,588422.5,48h,2.05247535211e-229
0.01,Palbociclib,nuclear,-0.0599336160304,0.00310168779689,36485269.0,48h,1.0
1.0,Neratinib,nuclear,1.19912898619,6.06011793924e-170,3085844.0,48h,2.03619962758e-167
0.1,Trametinib,nuclear,0.464138194178,1.17021410629e-47,7147637.0,48h,3.93191939715e-45
10.0,Vorinostat,nuclear,0.584904458035,2.67380721968e-26,3712258.5,48h,8.98399225813e-24
0.1,Alpelisib,nuclear,-0.178108374437,3.87702554125e-44,30514921.5,48h,1.30268058186e-41
0.31623,Etoposide,nuclear,0.350013739652,1.05422211695e-41,13657093.5,48h,3.54218631294e-39
0.031623,Trametinib,nuclear,0.538647164496,2.26241273698e-52,5730893.0,48h,7.60170679625e-50
0.1,Neratinib,nuclear,0.59718599425,1.21389352598e-121,8293691.0,48h,4.07868224728e-119
0.00032,Paclitaxel,nuclear,-0.265755463074,1.1314770232e-56,28673320.0,48h,3.80176279797e-54
10.0,Etoposide,nuclear,1.00995516389,2.86241913428e-76,1976094.0,48h,9.61772829117e-74
1.0,Palbociclib,nuclear,0.256796164355,1.22191822926e-25,13462801.5,48h,4.10564525032e-23
10.0,Dasatinib,nuclear,3.04698841052,1.07544288635e-35,194340.0,48h,3.61348809815e-33
0.1,Paclitaxel,nuclear,2.67738968881,3.16424768886e-55,62786.0,48h,1.06318722346e-52
0.01,Vorinostat,nuclear,-0.276693042062,4.85485689281e-90,28291733.0,48h,1.63123191598e-87
0.31623,Vorinostat,nuclear,-0.46152451162,1.61002110215e-192,16717578.5,48h,5.40967090324e-190
0.031623,Dasatinib,nuclear,0.690552582656,6.36149859009e-260,15544482.0,48h,2.13746352627e-257
0.031623,Paclitaxel,nuclear,2.27839815909,4.38061865376e-72,275291.5,48h,1.47188786766e-69
0.001,Paclitaxel,nuclear,0.144811697935,3.14435552645e-12,20910381.5,48h,1.05650345689e-09
0.031623,Etoposide,cytosolic,0.811102231231,0.0,37450164.0,72h,0.0
0.01,Neratinib,cytosolic,0.779159894217,0.0,50946685.0,72h,0.0
0.0031623,Paclitaxel,cytosolic,2.10779373829,3.78439755973e-246,975904.5,72h,1.27155758007e-243
0.031623,Alpelisib,cytosolic,0.823037186429,0.0,45872737.5,72h,0.0
3.1623,Vorinostat,cytosolic,1.45254889966,8.9698603257e-280,4015199.5,72h,3.01387306944e-277
0.031623,Trametinib,cytosolic,-2.30917417414,0.0,26365641.0,72h,0.0
10.0,Dasatinib,cytosolic,-2.30611011485,0.0,1652623.5,72h,0.0
0.0031623,Trametinib,cytosolic,1.53758878703,0.0,2562284.0,72h,0.0
1.0,Palbociclib,cytosolic,0.748889984366,0.0,28790517.0,72h,0.0
0.1,Dasatinib,cytosolic,1.37346497524,0.0,12265672.5,72h,0.0
10.0,Vorinostat,cytosolic,-2.34198761378,0.0,26335970.0,72h,0.0
1.0,Neratinib,cytosolic,1.75892707132,5.49711792138e-176,3678581.0,72h,1.84703162158e-173
10.0,Etoposide,cytosolic,-2.27575504225,0.0,20183835.0,72h,0.0
3.1623,Etoposide,cytosolic,1.48919636804,1.66012609667e-260,1972315.0,72h,5.57802368482e-258
1.0,Etoposide,cytosolic,1.17937973778,0.0,4796788.0,72h,0.0
0.001,Paclitaxel,cytosolic,0.628371078474,0.0,55013539.0,72h,0.0
10.0,Alpelisib,cytosolic,1.02674255019,0.0,5255668.0,72h,0.0
0.1,Palbociclib,cytosolic,0.630674677598,0.0,64522375.5,72h,0.0
0.1,Trametinib,cytosolic,1.70867970405,0.0,1394759.5,72h,0.0
0.0003,Trametinib,cytosolic,0.600492375968,0.0,96982462.0,72h,0.0
0.001,Neratinib,cytosolic,0.319869023786,0.0,201315647.5,72h,0.0
0.031623,Neratinib,cytosolic,0.451259927075,0.0,85198437.5,72h,0.0
0.0001,Paclitaxel,cytosolic,0.355843750531,0.0,175925739.0,72h,0.0
0.001,Trametinib,cytosolic,0.582854200175,0.0,64350647.0,72h,0.0
0.01,Trametinib,cytosolic,1.38004437106,0.0,3983820.5,72h,0.0
0.031623,Paclitaxel,cytosolic,-2.30171850209,0.0,6085933.5,72h,0.0
1.0,Alpelisib,cytosolic,0.405396354241,0.0,125724208.0,72h,0.0
0.1,Neratinib,cytosolic,1.11400050988,0.0,10979728.5,72h,0.0
0.031623,Dasatinib,cytosolic,0.708438002559,0.0,50221362.0,72h,0.0
0.01,Vorinostat,cytosolic,0.197394510941,0.0,228226632.0,72h,0.0
3.1623,Alpelisib,cytosolic,0.315713954304,0.0,115891178.0,72h,0.0
0.31623,Neratinib,cytosolic,1.26975518008,0.0,3092015.5,72h,0.0
0.00032,Paclitaxel,cytosolic,0.131712214292,8.01081937091e-257,288860722.5,72h,2.69163530863e-254
0.0032,Neratinib,cytosolic,0.0647340965121,3.72043249508e-71,340819643.5,72h,1.25006531835e-68
0.31623,Dasatinib,cytosolic,1.57326027551,0.0,2192641.5,72h,0.0
0.31623,Trametinib,cytosolic,1.10938868244,0.0,7737115.0,72h,0.0
0.01,Alpelisib,cytosolic,0.145109521659,1.97458732397e-252,298490406.5,72h,6.63461340853e-250
0.031623,Palbociclib,cytosolic,0.10321996361,1.23123222307e-150,314166629.5,72h,4.13694026951e-148
3.1623,Palbociclib,cytosolic,0.406091675432,0.0,49836792.0,72h,0.0
3.1623,Dasatinib,cytosolic,-2.26464354518,1.21549900562e-89,6855517.0,72h,4.08407665889e-87
0.31623,Palbociclib,cytosolic,0.0137645492528,0.000182059069886,201364751.0,72h,0.0611718474816
0.31623,Vorinostat,cytosolic,-0.0395814017779,1.16243271843e-26,202140724.0,72h,3.90577393393e-24
0.31623,Etoposide,cytosolic,0.130861699266,9.91418590364e-55,68543887.0,72h,3.33116646362e-52
10.0,Palbociclib,cytosolic,0.223121935214,4.09909717752e-113,44068784.0,72h,1.37729665165e-110
0.031623,Vorinostat,cytosolic,-0.0309751762153,1.79646578352e-16,323984083.5,72h,6.03612503263e-14
0.31623,Alpelisib,cytosolic,0.2058958125,0.0,191285296.0,72h,0.0
1.0,Dasatinib,cytosolic,1.91049126581,1.25845549556e-278,5275407.0,72h,4.2284104651e-276
0.1,Vorinostat,cytosolic,-0.0831066412232,4.88487648369e-67,251243268.0,72h,1.64131849852e-64
0.01,Dasatinib,cytosolic,0.0909612676614,1.71945780526e-82,188198091.0,72h,5.77737822566e-80
0.1,Alpelisib,cytosolic,-0.0705002274808,1.4625745852e-61,235712421.0,72h,4.91425060628e-59
0.01,Palbociclib,cytosolic,-0.112728066333,1.1512871419e-188,222488635.0,72h,3.86832479678e-186
0.01,Etoposide,cytosolic,-0.0673306422162,1.13775647288e-61,259458400.5,72h,3.82286174887e-59
0.1,Paclitaxel,cytosolic,-2.32485629718,0.0,2281508.5,72h,0.0
0.1,Etoposide,cytosolic,0.129865980883,6.5710741844e-100,149279087.0,72h,2.20788092596e-97
0.01,Paclitaxel,cytosolic,-1.10650181166,1.42904183975e-05,13220342.5,72h,0.00480158058155
